"TEST.NAME","Exam.Type"
"'- HAND, PORTABLE 3+ VIEWS-RT","EXTREMITY IMAGING"
"'- OUTSIDE CT IMAGES","OUTSIDE RADIOLOGY IMAGES"
"'- THORACIC SPINE AP & LATERAL","SPINE XRAY"
"'- TOES, PORTABLE-LT","EXTREMITY IMAGING"
"'- US RENAL UNILATERAL","RENAL US"
"'- WRIST, PORTABLE 3+ VIEWS-RT","EXTREMITY IMAGING"
"'- ANKLE, AP&LATERAL-LT","EXTREMITY IMAGING"
"'- ANKLE, PORTABLE AP&LATERAL-L","EXTREMITY IMAGING"
"'- C-SPINE AP/LATERAL W ODONTOI","SPINE XRAY"
"'- CLAVICLE, COMPLETE-LT","EXTREMITY IMAGING"
"'- CT FACIAL BONES WITH CONTRAS","FACE CT"
"'- CT FACIAL BONES WWO","FACE CT"
"'- CT LOWER EXTREMTY W/CONT-LT","EXTREMITY IMAGING"
"'- CT NECK SOFT TISSUE W/O CONT","NECK CT"
"'- CT ORBITS W/O CONTRAST","FACE CT"
"'- CT TEMPORAL BONE WITH CONTRA","FACE CT"
"'- ELBOW, 2 VIEWS-RT","EXTREMITY IMAGING"
"'- ELBOW, 3+ VIEWS-BI","EXTREMITY IMAGING"
"'- FACIAL BONES COMPLETE","FACE CT"
"'- FACIAL BONES, < 3 VIEWS","FACE CT"
"'- FEMUR, PORTABLE 2 VIEW-LT","EXTREMITY IMAGING"
"'- FOOT, 2VIEW-RT","EXTREMITY IMAGING"
"'- FOREARM, PORTABLE 2 VIEWS-RT","EXTREMITY IMAGING"
"'- HAND, 2 VIEWS-RT","EXTREMITY IMAGING"
"'- HAND, 3+ VIEWS-BI","EXTREMITY IMAGING"
"'- HIP, OPERATIVE-LT","HIPPELVIS XRAY"
"'- HUMERUS PORTABLE-LT","EXTREMITY IMAGING"
"'- KNEE, 1OR2 VIEWS-LT","EXTREMITY IMAGING"
"'- MRI ABDOMEN W/O CONTRAST","ABDPELV MRI"
"'- PELVIS COMPLETE, 3+ VIEWS","HIPPELVIS XRAY"
"'- RIBS, UNI-W/CXR 3+V -RT","CHEST XRAY"
"'- SCAPULA, COMPLETE-LT","EXTREMITY IMAGING"
"'- THORACIC SPINE 4 VIEWS","SPINE XRAY"
"'- TIBIA FIBULA-BI","EXTREMITY IMAGING"
"'- TIBIA FIBULA PORTABLE-RT","EXTREMITY IMAGING"
"'- TOES, 2VIEWMIN-RT","EXTREMITY IMAGING"
"'- TOES, PORTABLE-RT","EXTREMITY IMAGING"
"'- US DUPLEX BIL EXT LOWER ART","VASCULAR US"
"'- US DUPLEX UNI EXT LOWER ART","VASCULAR US"
"'- US EXTREMITY SOFT TISSUE LOW","EXTREMITY IMAGING"
"'- US PELVIS NON OB LTD","TVPELVIC US"
"'- US RENAL BILATERAL","RENAL US"
"'- WRIST, 2 VIEWS-LT","EXTREMITY IMAGING"
"'- WRIST, 2 VIEWS-RT","EXTREMITY IMAGING"
"'- WRIST, 3+ VIEWS-BI","EXTREMITY IMAGING"
